Category,Parameter,Value,Notes
"General","Base Monthly Ad Spend Per Location",5000,"Per location per month"
"General","Monthly Management Fee (Both Locations)",5500,"Total for both locations"
"General","Qualified Lead % of Calls",50%,"Half of calls become qualified leads"
"General","Closing Rate (Qualified to Job)",50%,"Half of qualified leads become jobs"
"","","",""
"Tucson","Max Monthly Website Leads",20,""
"Tucson","Max Monthly PPC Leads",15,""
"Tucson","Max Monthly GBP Leads",30,""
"Tucson","CPL (Cost Per Lead)",700,""
"Tucson","Mitigation Average",4589,""
"Tucson","Abatement Average",7484,""
"Tucson","Abatement Conversion %",30%,""
"Tucson","Reconstruction Conversion %",55%,""
"Tucson","Reconstruction Average",7452,""
"Tucson","LTV Per Job",10933,"Mit + (Abate Conv * Abate Avg) + (Recon Conv * Recon Avg)"
"","","",""
"Denver","Max Monthly Website Leads",35,""
"Denver","Max Monthly PPC Leads",30,""
"Denver","Max Monthly GBP Leads",50,""
"Denver","CPL (Cost Per Lead)",800,""
"Denver","Mitigation Average",6100,""
"Denver","Recon Referral Fee Per Job",0,""
"Denver","LTV Per Job",6100,"Mit Avg + Recon Fee"
"","","",""
"Ramp - Ads","Q1",50%,""
"Ramp - Ads","Q2",100%,""
"Ramp - Ads","Q3",100%,""
"Ramp - Ads","Q4",100%,""
"Ramp - Ads","Q5",100%,""
"Ramp - Ads","Q6",100%,""
"","","",""
"Ramp - GBP","Q1",25%,""
"Ramp - GBP","Q2",50%,""
"Ramp - GBP","Q3",75%,""
"Ramp - GBP","Q4",100%,""
"Ramp - GBP","Q5",100%,""
"Ramp - GBP","Q6",100%,""
"","","",""
"Ramp - Website","Q1",0%,""
"Ramp - Website","Q2",0%,""
"Ramp - Website","Q3",10%,""
"Ramp - Website","Q4",30%,""
"Ramp - Website","Q5",60%,""
"Ramp - Website","Q6",100%,""
